"station_a","station_b","distance","line","is_blocked","id","time"
"亮马桥","三元桥","1535","10","0","222","138.15"
"农业展览馆","亮马桥","914","10","0","223","82.26"
"团结湖","农业展览馆","853","10","0","224","76.77"
"呼家楼","团结湖","1150","10","0","225","103.5"
"金台夕照","呼家楼","734","10","0","226","66.06"
"国贸","金台夕照","835","10","0","227","75.15"
"双井","国贸","1760","10","0","228","158.4"
"劲松","双井","1033","10","0","229","92.97"
"潘家园","劲松","1021","10","0","230","91.89"
"十里河","潘家园","1073","10","0","231","96.57"
"分钟寺","十里河","1803","10","0","232","162.27"
"成寿寺","分钟寺","1060","10","0","233","95.4"
"宋家庄","成寿寺","1675","10","0","234","150.75"
"石榴庄","宋家庄","1273","10","0","235","114.57"
"大红门","石榴庄","1244","10","0","236","111.96"
"角门东","大红门","1124","10","0","237","101.16"
"角门西","角门东","1259","10","0","238","113.31"
"草桥","角门西","1688","10","0","239","151.92"
"纪家庙","草桥","1550","10","0","240","139.5"
"首经贸","纪家庙","1119","10","0","241","100.71"
"丰台站","首经贸","1717","10","0","242","154.53"
"泥洼","丰台站","954","10","0","243","85.86"
"西局","泥洼","749","10","0","244","67.41"
"六里桥","西局","1587","10","0","245","142.83"
"莲花桥","六里桥","2365","10","0","246","212.85"
"公主坟","莲花桥","1041","10","0","247","93.69"
"西钓鱼台","公主坟","2386","10","0","248","214.74"
"慈寿寺","西钓鱼台","1215","10","0","249","109.35"
"车道沟","慈寿寺","1591","10","0","250","143.19"
"长春桥","车道沟","1206","10","0","251","108.54"
"火器营","长春桥","778","10","0","252","70.02"
"模式口","金安桥","1366","11","0","253","98.35"
"金安桥","北辛安","850","11","0","254","61.2"
"北辛安","新首钢","689","11","0","255","49.61"
"大钟寺","西直门","2839","13","0","256","272.54"
"知春路","大钟寺","1206","13","0","257","115.78"
"五道口","知春路","1829","13","0","258","175.58"
"上地","五道口","4866","13","0","259","467.14"
"清河站","上地","1018","13","0","260","97.73"
"西二旗","清河站","1545","13","0","261","148.32"
"龙泽","西二旗","3623","13","0","262","347.81"
"回龙观","龙泽","1423","13","0","263","136.61"
"霍营","回龙观","2110","13","0","264","202.56"
"立水桥","霍营","4786","13","0","265","459.46"
"北苑","立水桥","2272","13","0","266","218.11"
"望京西","北苑","6720","13","0","267","645.12"
"芍药居","望京西","2152","13","0","268","206.59"
"光熙门","芍药居","1110","13","0","269","106.56"
"柳芳","光熙门","1135","13","0","270","108.96"
"东直门","柳芳","1769","13","0","271","169.82"
"张郭庄","园博园","1345","14","0","272","129.12"
"园博园","大瓦窑","4073","14","0","273","391.01"
"大瓦窑","郭庄子","1236","14","0","274","118.66"
"郭庄子","大井","2044","14","0","275","196.22"
"大井","七里庄","1579","14","0","276","151.58"
"七里庄","西局","845","14","0","277","81.12"
"北京南站","陶然桥","887","14","0","278","85.15"
"陶然桥","永定门外","1063","14","0","279","102.05"
"永定门外","景泰","1119","14","0","280","107.42"
"景泰","蒲黄榆","1025","14","0","281","98.4"
"蒲黄榆","方庄","1486","14","0","282","142.66"
"方庄","十里河","1618","14","0","283","155.33"
"十里河","南八里庄","1147","14","0","284","110.11"
"南八里庄","北工大西门","1276","14","0","285","122.5"
"北工大西门","平乐园","1128","14","0","286","108.29"
"平乐园","九龙山","897","14","0","287","86.11"
"九龙山","大望路","1780","14","0","288","170.88"
"大望路","红庙","708","14","0","289","67.97"
"红庙","金台路","894","14","0","290","85.82"
"金台路","朝阳公园","1085","14","0","291","104.16"
"朝阳公园","枣营","1221","14","0","292","117.22"
"枣营","东风北桥","2173","14","0","293","208.61"
"东风北桥","将台","1600","14","0","294","153.6"
"将台","高家园","1171","14","0","295","112.42"
"高家园","望京南","676","14","0","296","64.9"
"望京南","阜通","1168","14","0","297","112.13"
"阜通","望京","903","14","0","298","86.69"
"望京","东湖渠","1283","14","0","299","123.17"
"东湖渠","来广营","1100","14","0","300","105.6"
"来广营","善各庄","1364","14","0","301","130.94"
"清华东路西口","六道口","1145","15","0","302","103.05"
"六道口","北沙滩","1337","15","0","303","120.33"
"北沙滩","奥林匹克公园","1999","15","0","304","179.91"
"奥林匹克公园","安立路","1369","15","0","305","123.21"
"安立路","大屯路东","938","15","0","306","84.42"
"大屯路东","关庄","1087","15","0","307","97.83"
"关庄","望京西","2039","15","0","308","183.51"
"望京西","望京","1759","15","0","309","158.31"
"望京","望京东","1652","15","0","310","148.68"
"望京东","崔各庄","2295","15","0","311","206.55"
"崔各庄","马泉营","2009","15","0","312","180.81"
"马泉营","孙河","3309","15","0","313","297.81"
"孙河","国展","3387","15","0","314","304.83"
"国展","花梨坎","1616","15","0","315","145.44"
"花梨坎","后沙峪","3354","15","0","316","301.86"
"后沙峪","南法信","4567","15","0","317","411.03"
"南法信","石门","2712","15","0","318","244.08"
"石门","顺义","1332","15","0","319","119.88"
"顺义","俸伯","2441","15","0","320","219.69"
"北安河","温阳路","2653","16","0","321","238.77"
"温阳路","稻香湖路","2310","16","0","322","207.9"
"稻香湖路","屯佃","2352","16","0","323","211.68"
"屯佃","永丰","1961","16","0","324","176.49"
"永丰","永丰南","1315","16","0","325","118.35"
"永丰南","西北旺","2108","16","0","326","189.72"
"西北旺","马连洼","2196","16","0","327","197.64"
"马连洼","农大南路","1517","16","0","328","136.53"
"农大南路","西苑","2690","16","0","329","242.1"
"西苑","万泉河桥","1980","16","0","330","178.2"
"万泉河桥","苏州街","1486","16","0","331","133.74"
"苏州街","苏州桥","1497","16","0","332","134.73"
"苏州桥","万寿寺","1610","16","0","333","144.9"
"万寿寺","国家图书馆","1721","16","0","334","154.89"
"国家图书馆","二里沟","1589","16","0","335","143.01"
"二里沟","甘家口","1046","16","0","336","94.14"
"甘家口","玉渊潭东门","970","16","0","337","87.3"
"玉渊潭东门","木樨地","565","16","0","338","50.85"
"木樨地","达官营","2004","16","0","339","180.36"
"达官营","红莲南路","1552","16","0","340","139.68"
"红莲南路","丽泽商务区","1241","16","0","341","111.69"
"丽泽商务区","东管头南","1803","16","0","342","162.27"
"东管头南","丰台站","1794","16","0","343","161.46"
"丰台站","丰台南路","1420","16","0","344","127.8"
"丰台南路","富丰桥","1187","16","0","345","106.83"
"富丰桥","看丹","1226","16","0","346","110.34"
